Question,Answer,Class
केबिन बॅगेज स्वीकृती निकष काय आहे?,"तुमच्या कॅरी-ऑन बॅगेजचे परिमाण तपासण्यासाठी सर्व विमानतळांवर कंटूर्स उपलब्ध आहेत. तुमच्या कॅरी-ऑन बॅगेजने स्पेसिफिकेशन्सपेक्षा जास्त असल्यास, तुम्हाला तुमची बॅग चेक-इन करण्याची विनंती केली जाईल. कॅरी-ऑन बॅगेज केबिनमध्ये ओव्हरहेड बिनमध्ये जागा उपलब्धतेच्या अधीन स्वीकारली जाते. तुमच्या समोरील सीटखाली प्रतिबंधित स्टोरेज स्पेस देखील उपलब्ध आहे. हातातील सामान ठेवण्यासाठी विमानात जागा उपलब्ध नसल्यास, आम्हाला सुरक्षिततेच्या नियमांनुसार सामान ठेवण्यासाठी ते काढून टाकावे लागेल आणि लोड करावे लागेल. कोविड-19 च्या संबंधात प्रवाशांच्या सुरक्षित प्रवासासाठी, नागरी उड्डयन सुरक्षा ब्युरो, भारत आता प्रवाशांना 12 ऑगस्ट 2020 पर्यंत भारतातील प्रवासासाठी आणि भारतातून बाहेर पडणाऱ्या फ्लाइटसाठी केबिन बॅगेजमध्ये 350 मिली लिक्विड सॅनिटायझर ठेवण्याची परवानगी देत आहे. कृपया खात्री करा की जेल, अल्कोहोल, द्रव, क्रीम आणि लोशन यांसारखे द्रव वाहून नेणारे कंटेनर 100 मिली पेक्षा जास्त नसावेत. शस्त्रे, संभाव्य शस्त्रे, अनुकरण/प्रतिकृती शस्त्रे, टोकदार, तीक्ष्ण किंवा बोथट वस्तू (उदा. कात्री, खिशातील चाकू, बेसबॉल बॅट) आणि इतर सर्व धोकादायक वस्तूंना हाताच्या सामानात परवानगी नाही. लिथियम-आयन बॅटरी वापरणारी सर्व वैयक्तिक मोटार चालवलेली वाहतूक उपकरणे, ज्यात होव्हर-बोर्ड, सेगवे, एअरव्हील्स, सोलोव्हील्स, मिनी-सेगवे, बॅलन्स व्हील, सेल्फ-बॅलन्सिंग बोर्ड, बॅलन्स ग्लायडर यासह आणि तत्सम, चेक-इन किंवा कॅरी म्हणून वाहतुकीसाठी प्रतिबंधित आहे. - सामानावर.",सामान
अंतिम गंतव्यापर्यंत मी माझे सामान दुसर्‍या विमान कंपनीकडे तपासू शकतो का?,"नाही. एअर इंडिया एक्स्प्रेस ही पॉइंट टू पॉइंट कॅरिअर असल्याने, सामानाची बुकिंग फक्त IX क्षेत्रासाठी केली जाते आणि त्यापलीकडे नाही. सामान IX गंतव्यस्थानावर गोळा केले जाणे आवश्यक आहे. कोडशेअर फ्लाइटसाठी सामानाच्या चेक इनद्वारे केले जाईल.",सामान
एअर इंडिया एक्स्प्रेसच्या फ्लाइटमध्ये मी काय घेऊन जाऊ शकत नाही?,"सुरक्षा आणि सुरक्षिततेच्या कारणास्तव, तुम्हाला तुमच्या केबिनच्या सामानात खालील वस्तू नेण्यास मनाई आहे: ड्राय सेल बॅटरी चाकू कात्री तीक्ष्ण उपकरणे साधने संकुचित वायू: खोलवर रेफ्रिजरेटेड, ज्वलनशील, नॉन-ज्वालाग्रही आणि विषारी जसे की ब्युटेन ऑक्सिजन, द्रव नायट्रोजन, एक्वालंग सिलिंडर आणि संकुचित गॅस सिलिंडर संक्षारक जसे ऍसिड, क्षार, पारा आणि ओले सेल बॅटरी आणि पारा असलेले उपकरणे, स्फोटके, युद्धसामग्री, फटाके आणि फ्लेअर्स, दारुगोळा ज्यात रिक्त काडतुसे समाविष्ट आहेत हँडगन, फ्लेक्‍स, फ्लेक्‍स, फ्लेक्‍स, फटाके, फटाके. आणि घन पदार्थ जसे की हलके रिफिल, हलके इंधन, मॅच, पेंट्स, थिनर, फायर-लाइटर, इग्निशनपूर्वी उलटे करणे आवश्यक असलेले लाइटर, किरणोत्सर्गी सामग्री, ब्रीफकेस आणि स्थापित अलार्म उपकरणांसह केस संलग्न करा. ब्लीचिंग पावडर आणि पेरोक्साइड्स सारख्या ऑक्सिडायझिंग सामग्री. विष आणि संसर्गजन्य पदार्थ जसे की कीटकनाशके, तणनाशक आणि जिवंत विषाणू सामग्री. कोणतीही गोष्ट ज्याच्याजवळ आहे आणि/किंवा धारण करण्यास आणि/किंवा स्पष्ट आणि/किंवा आक्षेपार्ह गंध उत्सर्जित करण्यास सक्षम आहे. इतर धोकादायक लेख जसे की चुंबकीय साहित्य, आक्षेपार्ह किंवा चिडचिड करणारे तुम्हाला द्रव वस्तू/जेल/पेस्ट/औषधे/टॉयलेटरीजच्या कमी प्रमाणात स्पष्ट, पारदर्शक, पुन्हा सील करण्यायोग्य, लिटर-आकाराच्या प्लास्टिक पिशव्यांमध्ये नेण्याची परवानगी आहे. तथापि, हे सर्व आयटम सर्व सुरक्षा तपासणी आणि स्क्रीनिंगच्या अधीन असतील.",सामान
एअर इंडिया एक्सप्रेसने प्रवास करताना माझे सामान हरवले तर मी काय करावे? मी नुकसानभरपाईसाठी पात्र आहे का?,"बॅगेजचे नुकसान किंवा नुकसान झाल्यास, एअरलाइनचे दायित्व एसडीआर 17 (किंवा समतुल्य स्थानिक चलन) प्रति किलो चेक-इन बॅगेजपर्यंत मर्यादित आहे, प्रदान केले आहे, सामानाचे नुकसान एअरलाइनला नोंदवले गेले आहे , सीमाशुल्क बंदिस्त सोडण्यापूर्वी आणि 21 दिवसांनंतर ट्रेस न केल्यास.",सामान
उशीरा होणाऱ्या फ्लाइट्ससाठी एअर इंडिया एक्स्प्रेसची कार्यपद्धती काय आहे?,"उड्डाण उशीर झाल्यास, प्रवाशांशी पूर्वनियोजित निर्गमनाची माहिती देण्यासाठी त्यांच्याशी संपर्क साधण्याचा प्रत्येक प्रयत्न केला जातो. प्रवाशांना विलंबाबाबत सल्ला देण्यासाठी त्यांचा स्थानिक मोबाइल क्रमांक आणि ईमेल आयडी प्रदान करण्याची विनंती केली जाते. प्रवाशांना पुढील उपलब्ध एअर इंडिया एक्स्प्रेस फ्लाइटमध्ये कोणत्याही अतिरिक्त शुल्काशिवाय स्थानांतरीत केले जाऊ शकते. पुढील उपलब्ध पर्यायामध्ये प्रवास न करणार्‍या प्रवाशांना संपूर्ण परतावा मिळू शकतो.",रद्द करणे आणि परतावा धोरण
फ्लाइट रद्द झाल्यास एअर इंडिया एक्सप्रेसचे धोरण काय आहे?,एखादे उड्डाण रद्द झाल्यास एअर इंडिया एक्सप्रेसकडे प्रवाशांसाठी 2 पर्याय उपलब्ध आहेत. प्रवाशांना पुढील उपलब्ध एअर इंडिया एक्स्प्रेस फ्लाइटमध्ये कोणत्याही अतिरिक्त शुल्काशिवाय स्थानांतरीत केले जाऊ शकते. पुढील उपलब्ध पर्यायामध्ये प्रवास न करणार्‍या प्रवाशांना संपूर्ण परतावा मिळू शकतो.,रद्द करणे आणि परतावा धोरण
मी माझी फ्लाइट रद्द केल्यास मला परतावा मिळण्यास पात्र आहे का?,कृपया एअर इंडिया एक्सप्रेसचे रद्दीकरण आणि परतावा धोरण पहा.,रद्द करणे आणि परतावा धोरण
"माझ्या पहिल्या फ्लाइटला उशीर झाल्यामुळे माझी पुढील फ्लाइट चुकली तर, एअर इंडिया एक्स्प्रेस मला पुढील उपलब्ध फ्लाइटवर बसवेल किंवा माझ्या तिकिटाचा परतावा देईल का?","नाही, एअर इंडिया एक्सप्रेस पॉइंट-टू-पॉइंट आधारावर चालते? आणि पुढील प्रवासाच्या चुकीच्या कनेक्शनसाठी जबाबदार राहणार नाही. अर्भकं, गरोदर माता आणि विशेष गरजा असलेल्या प्रवाशांसोबत प्रवास करणे.",रद्द करणे आणि परतावा धोरण
"एअर इंडिया एक्सप्रेस हे अर्भक, लहान मूल आणि प्रौढ व्यक्तीचे वर्गीकरण कसे करते?","एक अर्भक म्हणजे ज्याचे वय निघण्याच्या दिवशी 2 वर्षांपेक्षा कमी आहे, प्रवासी 2 ते 12 वर्षांच्या दरम्यान असेल तर त्याला मूल म्हणून वर्गीकृत केले जाते. प्रस्थानाच्या दिवशी वय आणि प्रौढ म्हणजे 12 वर्षांपेक्षा जास्त वयाची कोणतीही व्यक्ती.",निकष
मी एका लहान मुलासाठी कसे बुक करू?,प्रौढांसाठी बुकिंगसाठी लागू आहे तशीच प्रक्रिया लागू करावी लागेल. अर्भकाला सोबत असलेल्या प्रौढ व्यक्तीसोबत बुक करणे आवश्यक आहे. बुकिंग करताना जन्मतारीख भरावी लागेल.,निकष
मला विशेष सहाय्य हवे असल्यास मी काय करावे?,"तुम्हाला एअर इंडिया एक्सप्रेसने प्रवास करताना काही विशेष सेवांची आवश्यकता असल्यास, कृपया आमच्या आरक्षण कार्यालयात किंवा संपर्क केंद्रावर कॉल करा आणि आमच्या कर्मचार्‍यांना तुमच्या गरजा कळवा. ते तुम्हाला प्रक्रियेबद्दल मार्गदर्शन करतील.",निकष
सोबत नसलेल्या तरुण प्रवाशांबाबत एअर इंडिया एक्सप्रेसचे धोरण काय आहे?,एअर इंडिया एक्सप्रेस 5 वर्षे ते 16 वर्षे वयोगटातील सोबत नसलेल्या अल्पवयीनांना स्वीकारेल. सोबत नसलेल्या अल्पवयीन व्यक्तीसाठी आरक्षण करण्यासाठी कृपया जवळच्या एअर इंडिया एक्सप्रेस सिटी/विमानतळ कार्यालयाशी संपर्क साधा कारण काही औपचारिकता पूर्ण करायच्या आहेत.,निकष
12 वर्षांखालील मुलांसाठी त्यांच्या पालकांशिवाय आंतरराष्ट्रीय प्रवास करण्याची प्रक्रिया काय आहे?,12 वर्षांपेक्षा कमी वयाच्या मुलांना त्यांच्या पालकांशिवाय इतर कोणाशीही प्रवास करणार्‍या मुलांना भारतीय दूतावास (डेस्टिनेशन पॉइंट) प्रमाणित पत्र सादर करावे लागेल. भारतातून आंतरराष्ट्रीय प्रवास करताना भारतीय इमिग्रेशन अधिकाऱ्यांची आवश्यकता.,निकष
मुले आणि अल्पवयीन (18 वर्षे किंवा त्याखालील) त्यांच्या पालकांशिवाय UAE मध्ये प्रवास करण्‍यासाठी काय प्रक्रिया आहे?,"1 जून 2018 पासून, जनरल डायरेक्टरेट ऑफ रेसिडेन्सी अँड फॉरेनर्स अफेअर्स-दुबई (इमिग्रेशन) ने पुढील अंमलबजावणीसाठी अधिसूचित केले आहे मुले आणि अल्पवयीन (18 वर्षे किंवा त्याखालील) त्यांच्या पालकांशिवाय UAE ला प्रवास करणारी प्रक्रिया. सर्व अल्पवयीन मुलांनी (18 वर्षे आणि त्याखालील) त्यांच्या पालकांकडून त्यांच्या परदेशात आणि UAE मधील पत्त्याच्या संबंधित तपशीलांसह आणि UAE मध्ये त्यांना कोण प्राप्त करणार आहे याबद्दलची माहिती असलेला अधिकृतता फॉर्म भरलेला असणे आवश्यक आहे (जर ते प्रवास करत नसतील तर पालक(ले). अल्पवयीन व्यक्ती कुटुंबातील दुसर्‍या सदस्यासोबत प्रवास करत असल्यास, पालक(चे) किंवा पालकांकडून अधिकृतता पत्र आवश्यक आहे. UAE/भारतीय इमिग्रेशनला बेकायदेशीर कृत्यांचा संशय असल्यास आणि प्रदान केलेली माहिती त्या संबोधित करण्यासाठी पुरेशी नसल्यास अल्पवयीन व्यक्तीला खरोखरच निर्वासित केले जाईल. या प्रकरणात, सामान्य INAD प्रक्रिया आणि त्यानंतरचे दंड लागू केले जातील. सोबत नसलेल्या अल्पवयीन मुलांसाठी (५-१६ वयोगटातील मुले) दुबईला/हून प्रवास करत असल्यास सेवा शुल्क आकारले जाते. आवश्यकता पूर्ण नाहीत. नवीनतम अद्यतने आणि आवश्यक कागदपत्रांसाठी कृपया तुमच्या प्रवासापूर्वी संबंधित देशांच्या संबंधित सरकारी अधिकाऱ्यांशी संपर्क साधा.",निकष
एअर इंडिया एक्सप्रेसने प्रवास करणाऱ्या गरोदर मातांसाठी काय नियम आहेत?,"गरोदर माता त्यांच्या गरोदरपणाच्या 27 आठवड्यांपर्यंत प्रवास करू शकतात. 28 ते 35 आठवड्यांच्या दरम्यान ते स्वीकारले जातील जर त्यांच्याकडे प्रस्थान होण्याच्या 3 दिवसांपूर्वीचे प्रसूती तज्ञ प्रमाणपत्र असेल, त्यांच्या गर्भधारणेच्या अवस्थेची पुष्टी केली जाईल आणि ते उड्डाणासाठी योग्य असल्याचे सांगतील. 36 आठवड्यांपेक्षा जास्त वयाच्या गर्भवती मातांना एअर इंडिया एक्सप्रेसने उड्डाण करण्याची परवानगी दिली जाणार नाही.",निकष
मी व्हीलचेअरसाठी आगाऊ बुक करू शकतो का?,"होय, व्हीलचेअर आगाऊ बुक करता येते. 23 एप्रिल 2018 पासून प्रभावी, ज्या प्रवाशांना व्हीलचेअरचा लाभ घ्यायचा आहे त्यांनी आमच्या 24*7 संपर्क केंद्रावर किंवा आमच्या शहरातील कार्यालयांमधून ते बुक करावे लागेल.",निकष
स्ट्रेचर बुक करण्‍यासाठी काय आवश्‍यकता आहे?,"जे प्रवासी पूर्णपणे अचल आहेत आणि बसू शकत नाहीत ते ऑनबोर्ड स्ट्रेचरसाठी विनंती करू शकतात. दुबई, अबू धाबी, शारजाह, रास अल खैमाह, अल ऐन, रियाध, दम्माम, बहरीन, सलालाह, मस्कत आणि दोहा येथील एम्बुलिफ्ट सुविधा चार्जेबल असेल (व्हीलचेअरचे शुल्क वगळून) एअर इंडिया एक्सप्रेसला तेच शुल्क आकारले जाते. प्रवाशासोबत सक्षम शरीराचे एस्कॉर्ट असणे आवश्यक आहे. विनंत्या तुमच्या ट्रॅव्हल एजंट, एअर इंडिया एक्सप्रेस किंवा तिकीट कार्यालयामार्फत, फ्लाइटच्या किमान ४८ तास आधी केल्या पाहिजेत. नोंदणीकृत आणि वैद्यकीय व्यावसायिकाने स्वाक्षरी केलेला वैद्यकीय माहिती फॉर्म (MEDIF) प्रस्थानाच्या 72 तासांपूर्वी सबमिट केला पाहिजे.",निकष
मी विशिष्ट जागांसाठी विनंती कशी करू?,विशिष्ट जागा एकतर बुकिंगच्या वेळी किंवा नाममात्र शुल्क भरून बुकिंग केल्यानंतर (किमान 24 तास आधी) आरक्षित केल्या जाऊ शकतात. कृपया लागू शुल्कासाठी आसनाखालील आमच्या अटी आणि नियम पहा. अधिक आरामदायी प्रवास करण्यासाठी तुमच्या आवडीची जागा आधीच आरक्षित करणे उत्तम.,सामान्य
एअर इंडिया एक्सप्रेस जहाजावर कोणतेही अन्न किंवा पेय पुरवते का?,एअर इंडिया एक्सप्रेस आगाऊ खरेदी करता येणारे गरम जेवणापासून ते पौष्टिक स्नॅक्स ते ताजी फळे (मऊ पेये/चहा/कॉफी व्यतिरिक्त) वेगवेगळे प्री-सेट जेवण देते. आम्ही चहा/कॉफीसह मोफत स्नॅक बॉक्स देखील देतो.,सामान्य
मी माझ्या प्रस्थानापूर्वी माझे ऑन-बोर्ड जेवण प्री-बुक करू शकतो का?,तुम्ही तुमचे ऑन-बोर्ड जेवण तुमच्या फ्लाइटच्या प्रस्थानाच्या २४ तास आधी बुक करू शकता.,सामान्य
एअर इंडिया एक्सप्रेस कोणत्या प्रकारचे विमान उड्डाण करते?,एअर इंडिया एक्सप्रेस सर्व अर्थव्यवस्थेच्या आवृत्तीमध्ये B737-800 नवीन पिढीची विमाने चालवते.,सामान्य
एअर इंडिया एक्सप्रेस कोणतेही फ्रिक्वेंट फ्लायर प्रोग्राम ऑफर करते का?,"नाही, एअर इंडिया एक्सप्रेस फ्रिक्वेंट फ्लायर प्रोग्राम ऑफर करत नाही.",सामान्य
मला UAE साठी 'ओके टू बोर्ड'; ची गरज आहे का?,भारतीय पासपोर्ट धारक ज्यांच्याकडे पासपोर्ट आहे ECR स्टेटस आहे आणि टुरिस्ट व्हिसा/पेपर व्हिसावर प्रवास करत आहेत त्यांच्या PNR मध्ये ओके टू बोर्ड संदेश अपडेट करणे आवश्यक आहे.,सामान्य